date,Tianjin
20200519,44
20200520,67
20200521,53
20200522,29
20200523,27
20200524,27
20200525,50
20200526,42
20200527,26
20200528,54
20200529,83
20200530,57
20200531,33
20200601,62
20200602,78
20200603,180
20200604,101
20200605,38
20200606,41
20200607,74
20200608,71
20200609,73
20200610,70
20200611,72
20200612,54
20200613,67
20200614,16
20200615,43
20200616,61
20200617,40
20200618,40
20200619,41
20200620,50
20200621,54
20200622,52
20200623,49
20200624,47
20200625,31
20200626,46
20200627,53
20200628,35
20200629,49
20200630,27
20200701,41
20200702,41
20200703,25
20200704,40
20200705,57
20200706,44
20200707,40
20200708,35
20200709,35
20200710,53
20200711,59
20200712,56
20200713,47
20200714,52
20200715,53
20200716,52
20200717,58
20200718,46
20200719,45
20200720,52
20200721,59
20200722,53
20200723,49
20200724,50
20200725,53
20200726,38
20200727,57
20200728,67
20200729,55
20200730,63
20200731,41
20200801,41
20200802,37
20200803,71
20200804,69
20200805,52
20200806,42
20200807,25
20200808,26
20200809,37
20200810,39
20200811,59
20200812,54
20200813,27
20200814,52
20200815,43
20200816,48
20200817,62
20200818,22
20200819,18
20200820,28
20200821,40
20200822,43
20200823,59
20200824,26
20200825,59
20200826,64
20200827,47
20200828,42
20200829,47
20200830,35
20200831,36
20200901,38
20200902,36
20200903,23
20200904,45
20200905,61
20200906,73
20200907,51
20200908,31
20200909,26
20200910,35
20200911,20
20200912,34
20200913,43
20200914,54
20200915,35
20200916,26
20200917,25
20200918,36
20200919,52
20200920,50
20200921,39
20200922,56
20200923,35
20200924,50
20200925,64
20200926,46
20200927,48
20200928,62
20200929,44
20200930,34
20201001,41
20201002,29
20201003,52
20201004,31
20201005,24
20201006,60
20201007,66
20201008,81
20201009,81
20201010,74
20201011,52
20201012,25
20201013,47
20201014,47
20201015,80
20201016,36
20201017,50
20201018,86
20201019,101
20201020,73
20201021,92
20201022,58
20201023,28
20201024,66
20201025,90
20201026,123
20201027,45
20201028,54
20201029,65
20201030,72
20201031,157
20201101,75
20201102,51
20201103,49
20201104,80
20201105,78
20201106,84
20201107,101
20201108,32
20201109,52
20201110,81
20201111,96
20201112,76
20201113,51
20201114,52
20201115,91
20201116,78
20201117,92
20201118,2
20201119,18
20201120,30
20201121,41
20201122,19
20201123,32
20201124,70
20201125,46
20201126,38
20201127,35
20201128,17
20201129,49
20201130,23
20201201,54
20201202,38
20201203,22
20201204,29
20201205,36
20201206,59
20201207,25
20201208,37
20201209,71
20201210,88
20201211,75
20201212,106
20201213,26
20201214,31
20201215,30
20201216,38
20201217,72
20201218,30
20201219,52
20201220,58
20201221,74
20201222,92
20201223,85
20201224,63
20201225,75
20201226,89
20201227,92
20201228,54
20201229,54
20201230,37
20201231,44
20210101,70
20210102,61
20210103,66
20210104,44
20210105,27
20210106,79
20210107,26
20210108,28
20210109,43
20210110,28
20210111,59
20210112,159
20210113,162
20210114,87
20210115,110
20210116,59
20210117,50
20210118,67
20210119,50
20210120,72
20210121,83
20210122,68
20210123,53
20210124,77
20210125,89
20210126,71
20210127,94
20210128,46
20210129,61
20210130,78
20210131,73
20210201,45
20210202,37
20210203,59
20210204,34
20210205,92
20210206,77
20210207,40
20210208,57
20210209,71
20210210,95
20210211,93
20210212,112
20210213,98
20210214,50
20210215,18
20210216,28
20210217,20
20210218,52
20210219,81
20210220,74
20210221,117
20210222,60
20210223,44
20210224,51
20210225,68
20210226,75
20210227,65
20210228,72
20210301,16
20210302,62
20210303,84
20210304,88
20210305,93
20210306,34
20210307,57
20210308,89
20210309,131
20210310,85
20210311,74
20210312,75
20210313,67
20210314,92
20210315,581
20210316,141
20210317,119
20210318,72
20210319,75
20210320,62
20210321,30
20210322,118
20210323,80
20210324,75
20210325,95
20210326,102
20210327,93
20210328,367
20210329,91
20210330,113
20210331,137
20210401,75
20210402,83
20210403,34
20210404,48
20210405,68
20210406,61
20210407,69
20210408,58
20210409,59
20210410,76
20210411,67
20210412,64
20210413,16
20210414,54
20210415,132
20210416,208
20210417,40
20210418,65
20210419,88
20210420,89
20210421,57
20210422,41
20210423,32
20210424,61
20210425,54
20210426,47
20210427,77
20210428,49
20210429,66
20210430,42
20210501,38
20210502,43
20210503,47
20210504,45
20210505,62
20210506,186
20210507,130
20210508,106
20210509,52
20210510,45
20210511,37
20210512,52
20210513,60
20210514,59
20210515,38
20210516,15
20210517,40
20210518,52
20210519,49
20210520,81
20210521,69
20210522,59
20210523,152
20210524,68
20210525,60
20210526,64
20210527,49
20210528,21
20210529,39
20210530,37
20210531,68
20210601,63
20210602,58
20210603,30
20210604,37
20210605,33
20210606,58
20210607,57
20210608,57
20210609,50
20210610,29
20210611,38
20210612,64
20210613,68
20210614,42
20210615,18
20210616,44
20210617,22
20210618,27
20210619,42
20210620,34
20210621,56
20210622,34
20210623,42
20210624,63
20210625,76
20210626,51
20210627,59
20210628,63
20210629,46
20210630,46
